facility,region,specialties,procedures,equipment,capabilities,numberDoctors,capacity
Shekinah Herbal TV GH,,['internalMedicine'],[],[],"['Promotes African traditional medicine', 'Is a medical center']",,
Sight For Africa,,['ophthalmology'],['Provides personalized eye care services'],[],"['Offers eye care services to the poor and vulnerable', 'Operates as a comprehensive eye clinic', 'Employs licensed practitioners for eye care', 'Staff includes experienced professionals trained and certified in eye care techniques']",,
Simpa Health Centre - Ghana,Western,['internalMedicine'],[],[],"['Is a government health centre located in Western, Simpa, Ghana.']",,
Sincere Herbal Research and Treatment Center,,"['internalMedicine', 'familyMedicine', 'infectiousDiseases']","['Specializes in the treatment of candidiasis', 'Specializes in the treatment of syphilis', 'Specializes in the treatment of gonorrhea', 'Specializes in the treatment of ulcers', 'Specializes in the treatment of non-communicable diseases such as hypertension and diabetes mellitus']",[],"['Operates as a Family Medicine Practice', 'Conducts research into Tropical African medicine']",,
Sinel Hospital Tema,,['internalMedicine'],[],[],"['Offers internal medicine services', 'Provides preventive medicine services']",,
Skyview Hospital,,['internalMedicine'],[],[],"['Skyview Hospital is located in Pokoase, Ghana.', 'The Skyview Hospital Facebook page is labeled as an unofficial page.', 'The Facebook page category is hospital.', 'The Skyview Hospital Facebook page states it is always open.', 'The Skyview Hospital Facebook page was created on June 7, 2019.']",,
Small Animal Teaching Hospital University of Ghana,,[],[],[],"['Located in Accra, Ghana.', 'Affiliated with University of Ghana.', 'Categorized as a college and university facility.', 'The page was created on March 14, 2017.']",,
Smile Family Clinic,,[],"['Offers herbal medicine treatments', 'Provides Orthodox medicine treatments']",[],['Operates as a natural health solution center'],,
Sogakope - MDC,,['radiology'],[],[],[],,
Sogakope District Hospital,,"['internalMedicine', 'generalSurgery']",[],[],"['Operates 24 hours daily', 'NHIS accredited', 'Government primary hospital', 'Offers general medical services']",,
SOMACAS Hospital,,"['internalMedicine', 'dentistry', 'gynecologyAndObstetrics', 'emergencyMedicine', 'pediatrics', 'pathology', 'generalSurgery', 'radiology']","['Offers surgical services', 'Performs endoscopy', 'Provides ultrasound scans', 'Provides electrocardiography (ECG) services', 'Conducts laboratory diagnostic tests']","['Has on-site ultrasound scanner', 'Has on-site electrocardiography (ECG) machine', 'Has endoscopy equipment on-site']","['Provides 24/7 inpatient services', 'Offers 24-hour outpatient services', 'Provides inpatient and outpatient medical services', 'Offers maternity and fertility services including prenatal care, labor, delivery, and postnatal care', 'Provides pediatric care services', 'Provides emergency care on-site', 'Offers pharmacy services on-site', 'Provides laboratory services on-site', 'In 2023, SOMACAS Hospital recorded 2122 inpatient cases', 'In 2023, SOMACAS Hospital recorded 8410 OPD cases', 'In 2023, SOMACAS Hospital recorded 412 ANC cases', 'In 2023, SOMACAS Hospital recorded 148 CS cases', 'In 2023, SOMACAS Hospital recorded 125 SVD cases', 'In 2023, SOMACAS Hospital recorded 868 typhoid cases']",,
Sonotech,,[],[],[],['Provides 24-hour medical services'],,
Spark Health Care,Ashanti Region,['internalMedicine'],[],[],"['Located in Oduom-Awomaso, Kumasi, Ghana (Ashanti Region)', 'Operates as a modern health center', 'Employs the best doctors', 'Equipped with ultra-modern facilities']",,
Specialist Health Ghana Dental Clinic,,['dentistry'],[],[],['Offers general dentistry services'],,
Spectra Health Ghana,,"['radiology', 'medicalOncology']",['Performs 3D mammography using Mammomat Inspiration with Tomosynthesis for breast cancer screening'],['Uses Mammomat Inspiration with Tomosynthesis 3D mammography system'],[],,
Spine and Nerve Center - Ghana,,['generalSurgery'],"['Performs spinal decompression therapy', 'Offers cold laser therapy']",[],['Specializes in spinal decompression therapy and cold laser therapy'],,
Springfield Dental Clinic - Weija-Broadcasting Junction,,"['dentistry', 'emergencyMedicine']","['Offers whitening and veneers', 'Provides braces and clear aligners', 'Conducts routine dental exams and cleanings', 'Offers emergency dentistry for tooth pain, injuries, and sudden complications']",[],"['Offers cosmetic, orthodontic, general, and emergency dentistry', 'Utilizes state-of-the-art technology']",,
Springfield Dental Clinic Ghana,,['dentistry'],[],[],['Specializes in dentistry and dental surgery'],,
St Anthony's Hospital in Dzodze Ghana,,"['internalMedicine', 'criticalCareMedicine', 'generalSurgery']",['Performs surgical operations'],"['Supplied with intensive care equipment by SOSSAH Ghana', 'Has external electricity available as part of a power rehabilitation project']","['Offers internal medicine services', 'Provides critical care medicine services', 'Collaborates with SOSSAH Ghana to improve hospital infrastructure and care']",,
St Benito Menni Hospital,Ashanti Region,"['internalMedicine', 'gynecologyAndObstetrics', 'pathology', 'emergencyMedicine', 'pediatrics']",['Offers ultrasound scanning (Ultra Sound Scan)'],"['Has a pathology laboratory', 'Has an ambulance', 'Offers ultrasound imaging (Ultra Sound Scan)']","['Provides emergency services 24 hours a day', 'Outpatient unit serves a rural population of 20,000 people', 'Hospital has a medical outreach team for home visits', 'Offers a day care centre for patients with mental and physical disabilities']",,
St John's Hospital & Fertility Centre,,['internalMedicine'],[],[],"['Offers reproductive endocrinology and infertility services', 'Provides internal medicine services', 'Serves as a family hospital with a customer-centric approach']",,
St Marks Anglican Clinic,,['internalMedicine'],['Offers general health services'],[],"['NHIS accredited', 'Functions as a mission health centre']",,
St Mathew's Clinic,,['internalMedicine'],[],[],"['Offers internal medicine services', 'Provides transplant surgery services']",,
"St Peter's Hospital, Jacobu",,['internalMedicine'],['Has Monday clinic days for Asthma and Sickle Cell Disease'],[],"[""St Peter's Hospital, Jacobu is a CHAG hospital"", 'Located in Jacobu, the district capital of the Amansie Central District, Ghana']",,
St Theresas Health Centre,,['internalMedicine'],[],[],"['NHIS accredited', 'Offers general services']",,
St. Andrew Catholic Hospital,Greater Accra,['internalMedicine'],[],[],"['Listed as a CHST hospital under the Catholic Health Service Trust, Ghana', 'Located in Kordiabe, Greater Accra Region, Adenta Municipal District, Diocese of Accra']",,
"St. Andrew Catholic Hospital, Kordiabe","Shai Osudoku District, Greater Accra Region","['gynecologyAndObstetrics', 'radiology', 'pathology', 'emergencyMedicine', 'internalMedicine']",[],['Has a hospital ambulance (visible in the Gallery as Hospital Ambulance)'],"['Operates 24/7 (seven days a week)', 'Offers General OPD, Emergency, Pharmacy, Laboratory, Obs & Gyne, Public Health Unit, Physiotherapy, IPD Services, Theatre, Dental Clinic, Eye Clinic, Wellness Center, Imaging', 'Owned by the Catholic Archdiocese of Accra; locally managed by CHF Sisters from the Holy Family Congregation in India']",,
St. Anne’s Catholic Hospital,Savannah,['internalMedicine'],[],[],"['St. Anne Catholic Hospital is a district hospital located in Damongo, West Gonja District, Savannah Region.']",,
St. Anthony Ann Catholic Hospital,Ejisu Municipal,['internalMedicine'],[],[],['Affiliated with the Konongo–Mampong diocese'],,
St. Anthony’s Catholic Hospital,Volta Region,['internalMedicine'],[],[],"['St. Anthony’s Catholic Hospital is a district hospital', 'St. Anthony’s Catholic Hospital is part of the Catholic Health Service Trust, Ghana']",,
"St. Anthony’s Clinic - Community 1, Tema",,['internalMedicine'],[],[],['Provides services in Health & Medical Centers - Health Clinics'],,
St. Anthony’s Hospital - Dzodze,Volta Region,"['gynecologyAndObstetrics', 'orthopedicSurgery']","['Conducts annual free health screenings for vulnerable groups', 'Offers family planning and complex contraception services']","['Has neonatal intensive care unit equipment provided under the Baby Breath project', 'Utilizes a new hospital generator project to power St. Anthony’s Hospital', 'Operates an ambulance and Toyota pickup provided through the Wheels for Life project', 'Uses laptops for the digitalization of patient records', 'Maintains renovated maternity ward and NICU infrastructure', 'Has intensive care equipment funded/provided by SOSSAH']","['Offers preventive medicine services', 'Runs outreach programs and health education for Covid-19 and general community health', 'Collaborates with SOSSAH to improve hospital equipment and services', 'Maintains the Orthopedic Department as an ongoing operational capability']",,
"St. Dominic Catholic Hospital, Akwatia",,"['internalMedicine', 'emergencyMedicine']",[],[],"['Has a 357-bed capacity', 'Operates a 24/7 emergency department', 'Is a secondary health facility in Ghana']",,357-bed capacity facility
St. Edward Clinic,Western,['internalMedicine'],[],[],"['St. Edward Clinic is a hospital located in Bogoso, Ghana']",,
ST. FF Specialist Hospital,,['internalMedicine'],[],[],"['Operates 24/7', 'Opened on 28 January 2024']",,
St. Francis Xavier Hospital,Central Region,"['emergencyMedicine', 'radiology', 'pathology', 'gynecologyAndObstetrics', 'pediatrics', 'dentistry', 'ophthalmology', 'infectiousDiseases', 'anesthesia', 'internalMedicine']","['Offers Radiology Specialist Services', 'Provides 24-hour emergency and ambulance service', 'Offers TB Control and HIV/AIDS Programme', 'Offers Emergency Medicine and Blood Transfusion Services']",[],"['Has a bed capacity of 156', 'Is an accredited NHIS facility', 'Safecare assessment in 2020 placed the facility at level 4', 'Adjudged the first best performing hospital in the Central Region by the Central Regional Health Directorate in 2021', 'Offers OPD and inpatient services', 'Includes departments and units such as Laboratory Unit, Accident & Emergency Unit, Medical Ward, Physiotherapy, Pharmacy Unit, Dental Unit, Ear, Nose & Throat Unit, and Ophthalmology']",,
St. Gregory Catholic Hospital,Central Region,['internalMedicine'],[],[],"['St. Gregory Catholic Hospital is a District Hospital.', 'Part of Catholic Health Service Trust Ghana network (CHST Hospitals).']",,
St. John of God Catholic Hospital,Ahafo,[],[],[],"['Listed as a district hospital in Duayaw Nkwanta, Tano North District, Ahafo region', 'Part of the Catholic Health Service Trust Ghana network']",,
St. John of God Hospital (ASAFO),Western North Region,"['internalMedicine', 'gynecologyAndObstetrics', 'orthopedicSurgery', 'pathology', 'radiology', 'pediatrics', 'generalSurgery', 'emergencyMedicine']","['Provides General OPD', 'Provides Emergency services', 'Provides Inpatient Care', 'Provides Maternity services', 'Provides Surgery services', 'Provides Obstetrics & Gynaecology Services', 'Provides Orthopaedic consultations', 'Provides Laboratory services', 'Provides Pharmacy services', 'Provides X-ray services', 'Provides ECG services', 'Provides Ultrasound Scan services', 'Provides Antenatal services', 'Provides Postnatal care', 'Provides Child welfare services', 'Provides School Health services', 'Provides Adolescent Health services', 'Provides Reproductive & Child Health services', 'Provides Counselling & Testing for HIV & PMTCT', 'Provides Eye Services']",[],"['Offers inpatient and outpatient services', 'Provides maternity services', 'Provides emergency services']",,
St. John Of God prosthetics and orthotics rehab. Center,,['orthopedicSurgery'],['Provides prosthetics and orthotics rehabilitation services'],[],"['Offers rehabilitation services to restore motion for amputees', 'Aims to reintegrate individuals back into society']",,
"St. Joseph Catholic Hospital, Nkwanta",Oti Region,"['ophthalmology', 'generalSurgery', 'internalMedicine']","['Offers free eye screening', 'Performs cataract surgery']",[],"['SafeCare level 4 health facility in the Oti Region, Ghana', 'Based in Nkwanta, Oti Region, Ghana', 'Eye screening schedule from 3 to 6 March 2025 across Salifukrom, Brewaniase, Ofosu, Tutukpene, Kecheibi, Bonakye, Sibi, and Damanko', 'Cataract surgery dates on 27 and 28 March 2025']",,
St. Joseph Hospital in Koforidua – Ghana,,['internalMedicine'],[],[],"['Employs Dr. Hannah Ofosua Owusu (BSc, MBChB) in internal medicine']",,
St. Jude Hospital Gh,,"['gynecologyAndObstetrics', 'internalMedicine']",['Offers obstetrics and gynecology services'],[],['Private healthcare facility operating in Obuasi Municipal since 1987'],,
St. Lucas Catholic Hospital,Upper East,['internalMedicine'],[],[],[],,
St. Luke Catholic Hospital,Central,[],[],[],"['St. Luke Catholic Hospital is a district hospital', 'Falls under the Cape Coast Diocese', 'Part of Catholic Health Service Trust Ghana (CHST)', 'Listed among Catholic Health Service Trust Ghana hospitals as of 2023']",,
St. Luke’s Catholic Hospital,Volta,['internalMedicine'],[],[],"['District hospital in Apam, Gomoa West District, Central Region, Ghana', 'Part of Catholic Health Service Trust Ghana (CHST Hospitals)']",,
St. Luke's Clinic,,['internalMedicine'],[],[],[],,
St. Martin de Porres Catholic Hospital,Western,['internalMedicine'],[],[],"['St. Martin de Porres Catholic Hospital is a district hospital', 'Part of the Catholic Health Service Trust Ghana network', 'Listed among CHST Hospitals']",,
St. Martin's Catholic Hospi,,['internalMedicine'],[],[],[],,
St. Martin’s Catholic Hospital,Ashanti,['internalMedicine'],[],[],"['St. Martin’s Catholic Hospital is a district hospital', 'Part of the Catholic Health Service Trust Ghana network of hospitals', 'Located in Agroyesum, Amansie South District, Ashanti Region, Ghana']",,
St. Martins Catholic Hospital - Agroyesum,ASHANTI,['internalMedicine'],[],[],"['St. Martins Catholic Hospital - Agroyesum is a primary hospital', 'Holds a provisional health facility licence from HeFRA', 'Licence issued on 2019-09-24 and expired on 2020-03-23', 'Practitioner in-charge is Dr. Anthony Amanfo Ofori']",,
St. Mary Theresa Catholic Hospital,Oti,['internalMedicine'],[],[],"['St. Mary Theresa Catholic Hospital is a district hospital', 'Affiliated with Catholic Health Service Trust, Ghana (CHST Hospitals)']",,
St. Marys Anglican Clinic,Ashanti,['internalMedicine'],[],[],"['Provides community health services', 'Delivers compassionate care']",,
St. Matthew’s Catholic Hospital,Dormaa East,['internalMedicine'],[],[],['Part of Catholic Health Service Trust Ghana (CHST Hospitals)'],,
St. Michael’s Catholic Hospital,Ashanti,['internalMedicine'],[],[],"['St. Michael’s Catholic Hospital is listed among CHST Hospitals of the Catholic Health Service Trust, Ghana', 'The hospital is in the Diocese of Obuasi']",,
ST. Micheal Hospital,Ashanti Region,['internalMedicine'],[],[],"['Located in Pramiso, Ghana', 'The page indicates the hospital is always open']",,
St. Paul's Dental Clinic,,['dentistry'],[],[],"['Offers quality and affordable dental care', 'Provides WhatsApp-based appointment booking', ""Maintains a Facebook page for St. Paul's Dental Clinic Takoradi""]",,
St. Paul’s Dental Clinic,Western Region,"['dentistry', 'pediatrics']","['Offers root canal treatment', 'Provides tooth extractions', 'Offers dry mouth treatment', 'Offers treatment for sensitive teeth', 'Offers bad breath treatment', 'Provides check-ups and cleaning', 'Provides fissure sealants', 'Offers pediatric dentistry services', 'Offers implants and dentures', 'Provides crowns and bridges', 'Offers inlays and onlays', 'Offers tooth replacement options', 'Offers whitening', 'Offers veneers', 'Offers braces', 'Offers enamel abrasion treatment', 'Offers Invisalign']",['Has modern dental equipment'],"['Offers general dentistry services', 'Offers pediatric dentistry services', 'Offers cosmetic dentistry services', 'Offers restorative dentistry services', 'Offers orthodontics']",,
"St. Vincent De Paul Clinic, Drobonso",,['internalMedicine'],[],[],"['Operates as a CHAG facility located at Drobonso in the Konongo-Mampong Catholic Diocese', 'Always open']",,
St.Andrews Clinic,,['internalMedicine'],"['Offers General Practitioner consultations', 'Offers Physician Specialist consultations', 'Promotes a Free Breast Examination during Breast Cancer Awareness Month']",[],"['Offers General Practitioner and Physician Specialist healthcare services', 'Located in Accra, Ghana']",,
St.Ann's Midwife/Maternity,Western Region,['gynecologyAndObstetrics'],[],[],"[""St.Ann's Midwife/Maternity is a private maternity home""]",,
"St.Joseph Hospital, Nkwanta",,['internalMedicine'],[],[],[],,
Star Lab Diagnostic- Yendi,,"['pathology', 'internalMedicine']","['Offers blood level testing', 'Provides health diagnostic testing with reliable test results']",[],[],,
Stratford Health Care,,['gynecologyAndObstetrics'],"['Offers obstetrics and maternity care services', 'Provides physical medicine and rehabilitation services']",[],[],,
Suhum Government Hospital,,[],[],[],"['Suhum Government Hospital is a government primary hospital.', 'The hospital is NHIS-accredited.', 'Offers general services.']",,
Suncity Medical Centre,Tema West Municipal,['internalMedicine'],[],[],"['Operates 24/7 health care facility', 'Located in Tema West Municipal, Tema, Ghana', 'Described as an ultra-modern health care facility', 'Has a website at suncitymedicalcentre.org']",,
Sunshine Ophthalmic Consult,,['ophthalmology'],"['Provides general eye services', 'Conducts eye surgery', 'Offers optical services', 'Performs refraction', 'Monitors glaucoma', 'Engages in outreach services']",[],[],,
Sunyani Municipal Hospital,Brong Ahafo,['internalMedicine'],['Provides general healthcare services'],[],"['Open 24 hours daily', 'NHIS accredited', 'Government primary hospital']",,
Sunyani Teaching Hospital,,['internalMedicine'],[],[],"['Provides high-quality health services up to secondary level (curative, preventive, etc)', 'Located in Sunyani, Ghana']",,
Supercare Specialist Medical & Ho Fertility Center,,"['gynecologyAndObstetrics', 'internalMedicine']","['Offers gynecological services', 'Provides obstetric care', 'Specializes in reproductive endocrinology and infertility treatments', 'Conducts internal medicine consultations']",[],"['Provides quality healthcare services', 'Operates as a modern state-of-the-art facility']",,
Superior Medical Centre,,"['internalMedicine', 'gynecologyAndObstetrics', 'generalSurgery', 'radiology']","['Offers antenatal services including consultations with medical specialists and ultrasound scans', 'Provides pregnancy-related services and rapid access clinics for women with abnormal symptoms']",['Uses on-site ultrasound equipment for antenatal scans'],"['Offers 24/7 availability of services', 'Staffed by duly qualified and registered physicians and nurses', 'Focuses on high-standard surgical procedures using advanced surgical technology']",,
Swan Clinic and Medical Laboratory,,"['internalMedicine', 'gynecologyAndObstetrics', 'generalSurgery', 'emergencyMedicine', 'pathology']","['Provides emergency medicine and acute care for walk-in patients', 'Offers minor surgical procedures as part of General Practice', 'Provides maternity services including antenatal care and gynecological care with pelvic exams, Pap tests, and cancer screenings', 'Offers medical counseling in Internal Medicine, Gynecology, General Surgery, and Physiotherapy', 'Performs laboratory-based diagnostic testing across Haematology, Coagulation, Microbiology, Molecular Biology, Tumour/Cancer Markers, Lipids Profile, Diabetes, Liver Function Tests, and Renal/Bone tests']",[],"['Established in 1982', 'NHIS accredited with emergency medicine and acute care facilities', 'Offers 24-hour support and 24/7 doctor availability', 'Swan Medical Laboratory has served clients for 40 years and emphasizes precision and accuracy in test results']",,
"Swan Medical Centre, Osu Ako-Adjei opp. Kingdom Books and Stationery., Accra, Ghana",,['internalMedicine'],[],[],['Swan Medical Centre is a branch of HEALTHNET'],,
Swan Medical Laboratory,,"['internalMedicine', 'gynecologyAndObstetrics', 'generalSurgery', 'emergencyMedicine', 'pathology']","['Performs minor surgical procedures as part of general practice', 'Provides emergency medicine and acute care for walk-in patients', 'Offers maternity services including antenatal care, pelvic exams, Pap tests, cancer screenings, and related testing', 'Provides medical consultations in Internal Medicine, Gynecology, General Surgery, and Physiotherapy', 'Conducts laboratory-driven diagnostic procedures and screenings across hematology, coagulation, microbiology, molecular biology, tumor markers, lipids, diabetes, liver function, and renal/bone testing']",[],"['Established in 1982', 'NHIS accredited with emergency services and acute care for walk-in patients', '24-hour support available', 'Doctors available 24/7', 'Swan Medical Laboratory comprises experts and dedicated technicians', 'Specializations include Microbiology, Biochemistry, Serology, and Hematology', 'Has served companies and private individuals for 40 years']",,
Sweden Ghana Medical Centre-SGMC,,['medicalOncology'],"['Provides radiation treatment for cancer', 'Covers the full range of cancer specialties']",['Uses state-of-the-art equipment for cancer treatment'],['Provides comprehensive cancer care across all specialties'],,
Swedru Hospital,,['internalMedicine'],[],[],['Provides quality healthcare services for the Agona Swedru community'],,
Swedru Municipal Hospital,,['internalMedicine'],[],[],"['Offers internal medicine services', 'Provides physical medicine and rehabilitation services', 'Has a neurology department']",,
Synlab Ghana (Koforidua Depot),,['pathology'],[],[],['Provides diagnostic and laboratory services'],,
Synlab Ghana (Kumasi Ahodwo Depot),,['pathology'],[],[],[],,
Synlab Ghana (Kumasi Bantama Depot),,['pathology'],[],[],"['Provides diagnostic and laboratory services', 'Remains open for business throughout the Easter holidays to ensure uninterrupted diagnostic and laboratory services']",,
"Taifa Medical Centre - Accra, Ghana",,['internalMedicine'],[],[],[],,
Taifa Polyclinic,,['internalMedicine'],[],[],"['Offers internal medicine services', 'Always open']",,
Takoradi Family Health Specialist Hospital,,['internalMedicine'],[],[],['Is a leading private hospital in the western and central region'],,
Tamale Central Hospital,Northern,['internalMedicine'],['Provides general medical services'],[],"['NHIS accredited', 'Open 24 hours daily (7 days a week)', 'Government-owned primary hospital in Ghana']",,
Tamale West Hospital,,[],[],[],"['Tamale West Hospital is a government-owned primary hospital.', 'Provides general services.', 'NHIS accredited.']",,
Tamohec Clinic,Western,['internalMedicine'],[],[],[],,
Tarkwa Government Hospital,,['internalMedicine'],[],[],"['Based in Tarkwa, Ghana', 'Facebook page categorized as Local Business', 'Page created on February 9, 2012', 'Always open on Facebook', '71 people like Tarkwa Government Hospital on Facebook', '71 people follow Tarkwa Government Hospital on Facebook', '1,548 people have checked in at Tarkwa Government Hospital on Facebook']",,
Tarkwa Municipal Hospital,,"['internalMedicine', 'emergencyMedicine']",[],[],"['Is a government primary hospital.', 'Provides general medical services.', 'Open 24 hours daily.', 'NHIS accredited.', 'Total bed capacity is 152.', 'Accident and Emergency Unit has 10 beds.']",,
Tatale District Catholic Hospital,Northern,[],[],[],"['Listed as a District Hospital in Tatale', 'Recognized as a Catholic hospital under the CHST Hospitals', 'Located in the Northern region of Ghana', 'Situated within the Yendi diocese']",,
Tema Christian Eye Center,,['ophthalmology'],[],[],"['Provides eye care services to everyone', 'Based in Tema, Ghana']",,
Tema General Hospital,,['internalMedicine'],[],[],['Offers internal medicine services'],,
Tema Polyclinic,,['infectiousDiseases'],['Designated as a vaccination center for the COVID-19 vaccination program'],[],['Serves as a vaccination center in the Tema West Municipal area'],,
Tema Women's Hospital,,"['internalMedicine', 'gynecologyAndObstetrics']",['Provides fertility consultation services'],[],['Open 24/7'],,
Tema Women’s Hospital,Ghana,"['gynecologyAndObstetrics', 'internalMedicine', 'pathology']","['Provides infertility services through the IVF unit', 'Offers specialist gynecological services', 'Provides obstetrics and gynecology services']",['The hospital laboratory is equipped with computers and instruments for quick and accurate inpatient and outpatient diagnoses'],"['Established in April 1996', 'IVF unit established in 1999', 'Offers inpatient and outpatient care', 'Employs fully trained personnel in the laboratory', 'Provides comprehensive tests and services in the laboratory']",,
Tepa District Hospital,,['internalMedicine'],[],[],"['Type: PRIMARY HOSPITAL', 'Ownership: GOVERNMENT', 'Services: General', 'NHIS accredited: yes']",,
Tetteh Quarshie Memorial Hospital,Eastern,['internalMedicine'],[],[],[],,
The Bank Hospital,,"['cardiology', 'pediatrics', 'gynecologyAndObstetrics', 'nephrology', 'emergencyMedicine', 'internalMedicine']","['Offers gastroscopy as a diagnostic procedure', 'Provides catheterisation laboratory procedures']",[],"['Emergency department operates 24/7', 'Laboratory ISO accreditation achieved in February 2025', 'Has a dedicated Neonatal ICU', 'Offers services in cardiology, nephrology, otolaryngology, gastroenterology, pediatrics, gynecology and obstetrics, urology, and critical care medicine', 'Provides inpatient and outpatient services']",,
The Bank of Ghana Hospital,,['internalMedicine'],[],[],"['The Bank of Ghana Hospital is recognized as the leading name in advanced healthcare.', 'Provides exceptional care to every patient, every day.']",,
The Brain and Sleep Medical Centre,,[],"['Offers sleep study services for patients referred by physicians to assess sleep and stress issues', 'Provides inpatient services for mental health issues and disorders', 'Offers outpatient psychiatry and psychology services']",[],"[""Describes itself as Ghana's premier private mental health facility"", 'Provides both inpatient and outpatient mental health services', 'Staff includes a CEO/Consultant Psychiatrist, General Manager, Consultant Clinical Psychologist, Medical Officer, and Clinical Psychologists']",,
The Community Hospital Ashongman,,"['internalMedicine', 'gynecologyAndObstetrics', 'ophthalmology', 'dentistry']",[],[],"['NHIS accredited', 'Offers general services', 'Provides internal medicine services', 'Offers ophthalmology services', 'Provides dentistry services', 'Offers gynecology and obstetrics services']",,
The Community Hospital New Ashongman,,"['ophthalmology', 'dentistry', 'gynecologyAndObstetrics', 'internalMedicine']",[],[],"['Private primary hospital', 'Offers general medical services', 'NHIS accredited']",,
"The Community Hospital, Ashongman Estates",,['internalMedicine'],[],[],[],,
The David's Medical Centre,Bono East Region,['internalMedicine'],[],[],[],,
"The Gordon’s Optometry - Dansoman High Street, Accra, Accra, Ghana",Accra,['ophthalmology'],['Provides professional eye care services'],[],"['Specializes in ophthalmology', 'Offers a wide range of quality eyewear frames']",,
The Rock Hospital Accra,,['internalMedicine'],[],[],"['Open 24 hours a day, seven days a week', 'Private primary hospital', 'NHIS accredited']",,
"The Smile Restore Dental Clinics Accra (26 Mango Tree Avenue, Accra, Ghana)",,['dentistry'],['Offers teeth whitening services'],[],['Identified as a dentist and dental office'],,
The Specialist Dental Practice,,['dentistry'],[],[],['Specializes in dentistry'],,
"The Trust (SSNIT) Hospital, Osu, Accra",,['internalMedicine'],[],[],[],,
The Trust Hospital Company Limited,,"['internalMedicine', 'gynecologyAndObstetrics', 'anesthesia']",[],[],"['Established in 1992', 'Leading private healthcare provider in Ghana', 'Operates 4 hospitals and 6 clinics']",,
"Third Eyecare and Vision Centre - Kanda highway, Accra, Ghana",,['ophthalmology'],['Offers premier eyecare services'],[],['Specializes in ophthalmology'],,
Tindonsobligo Clinic,,['internalMedicine'],[],[],"['Operates as a hospital', 'Open 24/7']",,
TOCS Laboratory,,['pathology'],"['Provides COVID-19 diagnostic testing', 'Performs microbiology testing including identification, examination, and culturing of microorganisms', 'Conducts clinical biochemistry testing through the Clinical Biochemistry Department']","['Invests in advanced diagnostic equipment for medical testing', 'Laboratory infrastructure supports clinical biochemistry and microbiology testing']","['Provides medical diagnostics services in Accra, Ghana', 'Clinical Biochemistry Department employs master’s degree–level scientists with UK certifications', 'Clinical Biochemists participate in the Maintenance of Competence program', 'Team comprises highly trained and experienced professionals']",,
Tolon District Hospital,,['internalMedicine'],[],[],['Provides internal medicine services'],,
TOP Herbal Clinic,,[],[],[],['Operates as a herbal clinic and producer of herbal products'],,
Top Herbal Clinic,,"['radiology', 'pathology']","['Provides general consultations to diagnose and treat illnesses.', 'Offers full body diagnostic scans.', 'Conducts laboratory services to detect the root cause of symptoms.', 'Provides circulation services to improve blood circulation.']",['Uses Ceragem bed for full-body massage.'],"['Licensed and accredited clinic.', 'Member of Ghana Federation of Traditional Medicine Practitioners (GAFTRAM).', 'Member of Traditional Medicine Practice Council (TMPC).', 'Operates an outpatient clinic.']",,
Tophill Hospital,,['internalMedicine'],[],[],"['Offers 24-hour service', 'Provides general and specialized outpatient and inpatient services']",,
"Trauma and Specialist Hospital, Winneba",Central Region,"['criticalCareMedicine', 'orthopedicSurgery', 'gynecologyAndObstetrics', 'pediatrics', 'internalMedicine', 'emergencyMedicine', 'radiology', 'generalSurgery', 'anesthesia', 'plasticSurgery']","['Operates 24/7 accident and emergency services', 'Offers trauma and orthopaedic care', 'Provides obstetrics and gynecology services including preconception care, infertility management, normal and abnormal deliveries, birth control, pre- and post-menopausal care, cancer screening, and gynecological infection treatment', 'Provides mental health and psychiatry services', 'Offers dental, oral and maxillofacial surgery services including dental consultations, fillings (simple and root canal therapy), teeth cleaning and tooth replacement', 'Conducts ophthalmology and optical services including ophthalmic consultation, eye screening, spectacle dispensing and eye surgeries', 'Provides diagnostic services including radiology/imaging and routine medical examinations', 'Offers reproductive health services including adolescent health, school health, health education, behaviour change communication, disease surveillance, antiretroviral treatment and contact tracing', 'Provides pediatric care for infants and children up to 13 years with management of malaria, gastroenteritis and sepsis', 'Operates a wellness clinic offering nutrition counseling, BMI checks, vital signs assessment, neonatal well-being checks and Saturday aerobics', 'Offers telemedicine services for remote consultation and care', 'Provides ear, nose and throat (ENT) services', 'Dispenses medicines through on-site pharmaceutical services', 'Utilizes physiotherapy modalities including infrared therapy, laser therapy, microwave diathermy, electrical stimulation therapy and short wave diathermy', 'Implements diet therapy focusing on nutrition management and therapeutic diets', 'Performs general surgery including obstetric/gynecologic surgeries such as myomectomy, cesarean section, hysterectomy and salpingectomy and orthopedic surgeries such as ORIF and external fixation; hydrocelectomy and appendectomy', 'Provides anaesthesia services including perioperative anesthesia, neonatal resuscitation and intensive care support']",[],"['Serves as a specialized secondary referral health facility', 'Acts as the last referral point for other hospitals, health centres and clinics in the Efutu Municipality and beyond', 'Currently serves as the interim Central Regional Hospital', 'Receives patients from Ga South Municipality', 'Has a catchment area that includes Efutu and surrounding districts']",,
Trust Hearing solutions,,[],"['Provides hearing solutions for the hearing impaired', 'Offers ENT services']",[],"['Specializes in otolaryngology', 'Operates as an ENT specialist clinic']",,
"Trustcare Hospital. South Suntreso, Kumasi",,['internalMedicine'],[],[],"['Operates as a 24/7 hospital', 'Located in South Suntreso, Kumasi, Ghana']",,
